ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variable,AR-AURA,Aroma Aura,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/aura.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Durazno, pera jugosa",field_6a3739f9978a5,"Magnolia, flor de loto",field_6a373a0b978a6,"Vainilla, almizcle blanco",field_6a373a15978a7
,variation,AR-AURA-150,Aroma Aura 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-AURA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-AURA-250,Aroma Aura 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-AURA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-AURA-500,Aroma Aura 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-AURA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-AURA-1L,Aroma Aura 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-AURA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-BLOSSOM,Aroma Blossom,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/blossom.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Frutas, cereza dulce",field_6a3739f9978a5,Flores rosadas,field_6a373a0b978a6,"Almizcle, azucar floral",field_6a373a15978a7
,variation,AR-BLOSSOM-150,Aroma Blossom 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-BLOSSOM,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-BLOSSOM-250,Aroma Blossom 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-BLOSSOM,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-BLOSSOM-500,Aroma Blossom 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-BLOSSOM,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-BLOSSOM-1L,Aroma Blossom 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-BLOSSOM,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CANELITA,Aroma Canelita,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/canelita.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Canela cálida, clavo de olor",field_6a3739f9978a5,"Nuez moscada, jengibre suave",field_6a373a0b978a6,"Azúcar morena, vainilla",field_6a373a15978a7
,variation,AR-CANELITA-150,Aroma Canelita 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-CANELITA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-CANELITA-250,Aroma Canelita 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-CANELITA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CANELITA-500,Aroma Canelita 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-CANELITA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CANELITA-1L,Aroma Canelita 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-CANELITA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CARMESI,Aroma Carmesí,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/carmesi.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Grosella negra, frutos del bosque",field_6a3739f9978a5,"Peonía, flor de cerezo",field_6a373a0b978a6,"Ámbar rojo, musk sensual",field_6a373a15978a7
,variation,AR-CARMESI-150,Aroma Carmesí 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-CARMESI,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-CARMESI-250,Aroma Carmesí 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-CARMESI,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CARMESI-500,Aroma Carmesí 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-CARMESI,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CARMESI-1L,Aroma Carmesí 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-CARMESI,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CITRUS-BLOOM,Aroma Citrus Bloom,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/citrus-bloom.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Limón, hierbas aromáticas",field_6a3739f9978a5,"Flores silvestres, hoja verde",field_6a373a0b978a6,"Almizcle, madera clara",field_6a373a15978a7
,variation,AR-CITRUS-BLOOM-150,Aroma Citrus Bloom 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-CITRUS-BLOOM,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-CITRUS-BLOOM-250,Aroma Citrus Bloom 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-CITRUS-BLOOM,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CITRUS-BLOOM-500,Aroma Citrus Bloom 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-CITRUS-BLOOM,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CITRUS-BLOOM-1L,Aroma Citrus Bloom 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-CITRUS-BLOOM,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CLASSIC-BLUE,Aroma Classic Blue,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/classic-blue.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Limón siciliano, mandarina",field_6a3739f9978a5,"Cedro virgeniano, vetiver",field_6a373a0b978a6,"Madera seca, almizcle",field_6a373a15978a7
,variation,AR-CLASSIC-BLUE-150,Aroma Classic Blue 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-CLASSIC-BLUE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-CLASSIC-BLUE-250,Aroma Classic Blue 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-CLASSIC-BLUE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CLASSIC-BLUE-500,Aroma Classic Blue 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-CLASSIC-BLUE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CLASSIC-BLUE-1L,Aroma Classic Blue 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-CLASSIC-BLUE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-COCO-ZEN,Aroma Coco Zen,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/coco-zen.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Coco cremoso, almendra tostada",field_6a3739f9978a5,"Leche de vainilla, heliotropo",field_6a373a0b978a6,"Sándalo, azúcar de coco",field_6a373a15978a7
,variation,AR-COCO-ZEN-150,Aroma Coco Zen 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-COCO-ZEN,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-COCO-ZEN-250,Aroma Coco Zen 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-COCO-ZEN,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-COCO-ZEN-500,Aroma Coco Zen 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-COCO-ZEN,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-COCO-ZEN-1L,Aroma Coco Zen 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-COCO-ZEN,Capacidad,1 L,1,1,,,,,,,
,variable,AR-COOKIE-FOREST,Aroma Cookie Forest,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/cookie-forest.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Caramelo cremoso, azúcar",field_6a3739f9978a5,"Galleta de vainilla, nuez",field_6a373a0b978a6,"Madera dulce, leche caliente",field_6a373a15978a7
,variation,AR-COOKIE-FOREST-150,Aroma Cookie Forest 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-COOKIE-FOREST,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-COOKIE-FOREST-250,Aroma Cookie Forest 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-COOKIE-FOREST,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-COOKIE-FOREST-500,Aroma Cookie Forest 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-COOKIE-FOREST,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-COOKIE-FOREST-1L,Aroma Cookie Forest 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-COOKIE-FOREST,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CORTEZA,Aroma Corteza,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/corteza.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Frutas acuáticas, ozono limpio",field_6a3739f9978a5,"Notas marinas, pomelo rosado",field_6a373a0b978a6,"Vetiver, madera flotante",field_6a373a15978a7
,variation,AR-CORTEZA-150,Aroma Corteza 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-CORTEZA,Capacidad,150 ML,1,1,,,,,,,
