ID,Tipo,Nombre,Imágenes
211,simple,Box aromático fragancia serena,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND140.png
252,simple,Box aromático Brisa interior,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND120.png
253,simple,Box aromático Esencia sutil,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND160.png
254,simple,Box aromático Armonía interior,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV4.png
255,simple,Box aromático Exclusividad sensorial,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP3.png
256,simple,Box aromático Distinción sensorial,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP5.png
257,simple,Box aromático Esencia íntima,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV3.png
258,simple,Box aromático Balance,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV6.png
259,simple,Box aromático Expansión esencial,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS6.png
260,simple,Box aromático Dominio Aromático,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND700.png
261,simple,Box aromático Experiencia suprema,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS4WHITE.png
262,simple,Box aromático Proyección aromática,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND800.png
263,simple,Box aromático Magnitud sensorial,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS7.png
264,simple,Box aromático Presencia monumental,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW020.png
265,simple,Box aromático Alcance supremo,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW030.png
