ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Meta: difusor,Meta: _difusor,Meta: color,Meta: _color,Meta: cobertura,Meta: _cobertura,Meta: control,Meta: _control,Meta: app,Meta: _app,Meta: capacidad,Meta: _capacidad,Meta: cantidad_de_aroma_de_regalo,Meta: _cantidad_de_aroma_de_regalo
,simple,ND-110,,Box aromático Esencia viva,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,220,Boxes,,,,,,,,,,,,0,,ND-110,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,10,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,10 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OV-1,,Box aromático Drive & Scent,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,273,Boxes,,,,,,,,,,,,0,,OV-1,field_6a1ecd9ec803e,"White, Black, Wood",field_6a1ecdadc803f,Auto,field_6a1ecdb7c8040,Manual,field_6a1ecdbec8041,Manual,field_6a1ece1dc8042,10 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,ND-120,,Box aromático Brisa interior,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,Boxes,,,,,,,,,,,,0,,ND-120,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,20,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,60 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,ND-140,,Box aromático Fragancia serena,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,310,Boxes,,,,,,,,,,,,0,,ND-140,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,25,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,100 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,ND-150,,Box aromático Aroma delicado,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,342,Boxes,,,,,,,,,,,,0,,ND-150,field_6a1ecd9ec803e,"White, Black",field_6a1ecdadc803f,30,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,100 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,ND-160,,Box aromático Esencia sutil,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,400,Boxes,,,,,,,,,,,,0,,ND-160,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,30,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,150 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OV-4,,Box aromático Armonía interior,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,485,Boxes,,,,,,,,,,,,0,,OV-4,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,50,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,250 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-300,,Box aromático Aire de serenidad,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,521,Boxes,,,,,,,,,,,,0,,ND-300,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,250 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OV-5,,Box aromático Aura de confort,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,524,Boxes,,,,,,,,,,,,0,,OV-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OP-3,,Box aromático Exclusividad sensorial,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,629,Boxes,,,,,,,,,,,,0,,OP-3,field_6a1ecd9ec803e,Beige,field_6a1ecdadc803f,50,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,120 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OP-5,,Box aromático Distinción sensorial,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,650,Boxes,,,,,,,,,,,,0,,OP-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,60,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,100 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OV-3,,Box aromático Esencia íntima,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,675,Boxes,,,,,,,,,,,,0,,OV-3,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,90,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,300 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OV-6,,Box aromático Balance,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,675,Boxes,,,,,,,,,,,,0,,OV-6,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,95,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,400 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,Pro-300,,Box aromático Prestige essence,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,724,Boxes,,,,,,,,,,,,0,,Pro-300,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,95,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,300 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-500,,Box aromático Armonía sofisticada,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,800,Boxes,,,,,,,,,,,,0,,ND-500,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OP-7,,Box aromático Sublime intensidad,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,850,Boxes,,,,,,,,,,,,0,,OP-7,field_6a1ecd9ec803e,"Black, gold, silver",field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,120 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OS-6,,Box aromático Expansión esencial,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,975,Boxes,,,,,,,,,,,,0,,OS-6,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,300,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,200 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-700,,Box aromático Dominio Aromático,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1105,Boxes,,,,,,,,,,,,0,,ND-700,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,850 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
