ID,SKU,Nombre,Publicado,"Visibilidad en el catálogo",Categorías,Imágenes
169,,"Difusor ND120",1,visible,Difusor,"https://vaporis.pruebalucuma.site/wp-content/uploads/2026/04/Dif_ND120.png, https://vaporis.pruebalucuma.site/wp-content/uploads/2026/03/pdp-Volcano-ensemble-1_600x800.webp, https://vaporis.pruebalucuma.site/wp-content/uploads/2026/03/volcano-resized_600x800.webp"
211,,"Box aromático fragancia serena",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND140.png
252,,"Box aromático Brisa interior",1,visible,"Boxes, Espacios Íntimos",https://vaporis.pruebalucuma.site/wp-content/uploads/2026/04/Dif_ND120.png
253,,"Box aromático Esencia sutil",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND160.png
254,,"Box aromático Armonía interior",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OV4.png
255,,"Box aromático Exclusividad sensorial",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OP3.png
256,,"Box aromático Distinción sensorial",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OP5.png
257,,"Box aromático Esencia íntima",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OV3.png
258,,"Box aromático Balance",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OV6.png
259,,"Box aromático Expansión esencial",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OS6_Dif_OW030_OW010.png
260,,"Box aromático Dominio Aromático",1,visible,"Boxes, Control Wi-Fi",https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND700_Dif_OS7-1.png
261,,"Box aromático Experiencia suprema",1,visible,Boxes,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_OS4WHITE_Dif_OS5WHITE_Dif_OW006WHITE.png
262,,"Box aromático Proyección aromática",1,visible,"Boxes, Control Wi-Fi",https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Dif_ND800.png
